firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
ALDI,2019-12-18, Store Manager,"Current Employee, more than 3 years","Huntingdon, England, England",4,4.0,3.0,,1.0,5.0,3.0,v,o,v,"Industry leading pay, you will work for it.","Excellent pay, store managers are generally left to run their shops without much interference,",Easy to fudge the kpi’s and many store managers do so honesty doesn’t pay. Some area managers are great but some are fresh out of uni and don’t know how to motivate and engage others. Too much paperwork taken away from area managers and given to store managers who need to be on the floor with their teams.
ALDI,2021-03-03, Store Assistant,"Current Employee, less than 1 year","Blackburn, England, England",4,3.0,5.0,5.0,5.0,5.0,5.0,v,r,r,Great to work for,"Competitive pay, great team, extra hours if needed",Very hard work. Time targets
ALDI,2018-01-28, Store Manager,"Current Employee, more than 5 years","Ellesmere Port, England, England",4,1.0,5.0,,5.0,4.0,1.0,v,v,v,It WILL make you or break you,"Huge amount of responsibility
Free rain to run your store the way you want (to a degree) 
Directors & MD knows you by name 
Massive salary in return for the work you put in","Little to no support from AM’s once the going gets tough, you just expected to deal with it or ‘manage the situation’ and then your performance managed by your AM for your management. 
There is a very evident ‘blame’ culture 
AM’s with minimal people management skills
Work/Life balance is non existent 
Responsible for your store even during times of annual leave."
AJ-Bell,2019-11-14, TPA,"Current Employee, less than 1 year",,5,4.0,4.0,,2.0,3.0,4.0,v,v,v,Great Starting block,"wage
nice managers
simple work
they give young people a chance","questionable progression
hours( however they were making more flexible)"
AJ-Bell,2020-05-28, Anonymous Employee,Current Employee,"Manchester, England, England",3,5.0,5.0,,4.0,2.0,4.0,v,o,v,Fairly average company,"Great working atmosphere, lots of chance for progression","Pay falls very short of the market rate, progression is encouraged and easy if you work hard however wages barely increase."
ALDI,2018-06-11, Store Assistant,"Former Employee, less than 1 year","Chichester, England, England",4,3.0,4.0,,4.0,4.0,4.0,v,r,r,Good and bad...,The hours fly past as you work; no two days the same; good rotation of tasks; good mix of shifts; good prospects for progression.,"Expected to stay late beyond contracted shifts, extremely difficult targets, management standoffish, occasionally unsociable hours, very corporate atmosphere."
ALDI,2019-07-18, Assistant,"Former Employee, more than 3 years","Ann Arbor, MI",4,3.0,3.0,,3.0,3.0,3.0,x,r,r,gOOD,Staff and collegues were great was like a family,I was a student so no career opportunities for me after uni
ALDI,2018-12-13, Picker,"Former Employee, more than 1 year","Manchester, England, England",4,3.0,3.0,,2.0,4.0,3.0,v,o,v,"Good money, no life",Good pay and can be flexible if you know how to play the game. Also met a good bunch of lads,"No progression, Unless you are a lickarse. Lack of organisation at times and over disciplined. Always threatened with you're jobs for making small mistakes."
ALDI,2018-04-27, Store Associate,"Current Employee, less than 1 year","Debden, England, England",1,1.0,5.0,,2.0,1.0,1.0,x,x,o,Health and safety,"Staff nice, and I can't say more, becouse there's not. Actually I can add that even your brake is in rush, no health amd safety clothing offered","They ask you tp sign health&safety without be8ng trained, so they are covered in case of accident. Climb the shelves to store products, big pallets to do within 30-40 minuit on your own(3 m)"
AJ-Bell,2017-10-17, Anonymous Employee,"Current Employee, more than 1 year","Manchester, England, England",5,4.0,5.0,,5.0,3.0,4.0,v,v,v,Wish I'd known AJ Bell were local to me sooner,"Really friendly staff and great team culture
Excellent career prospects 
Lots of emphasis on learning & development 
Brilliant induction program 
Facilities- next to tram stop, gym, pay day drinks, cafe, post office, newsagents","Very busy, not making full use of all facilities, but this will change as the team develops"
ALDI,2021-02-15, Manager,Former Employee,"Leeds, England, England",1,1.0,1.0,1.0,3.0,5.0,2.0,o,o,o,Good pay- Poor work like balance,"Great salary, expensed car, training opportunities,","Long hours (60 hour week normal)
Poor work life balance- expect to cancel holidays, weekend plans. Company comes first, anything else disregarded."
AJ-Bell,2017-09-08, ,Current Employee,,5,4.0,5.0,,3.0,3.0,5.0,o,v,o,Placement,"Great team 
Lots of support 
In house training",Can be stressful during busy periods
ALDI,2017-06-18, Store Assistant,"Current Employee, less than 1 year","Royal Leamington Spa, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,What's it like working for Aldi in 2017?.,"I would say that you have alot of banter, There's always alot of things to do. Ihad alot of issues before going into this job and I have now started to get my life back on track thanks to my managers. If you put in the hard work they will reward you.When I first started they put me on early shifts starting at 6am till 2pm. I am not a early person so it was difficult but soon as I showedthem what I was worth they have me later shifts and to this day work around the hours I can do. I couldn't recommend this job enough. If you want to get the best out of retail then Aldi is for you!.",There can be alot of bad customers but Aldi give you the right training to over come that.
ALDI,2021-03-18, Manager,"Former Employee, more than 8 years","Aberdeen, Scotland, Scotland",2,1.0,2.0,1.0,1.0,4.0,3.0,x,r,r,Poor,Great salary and benefits are ok,"No work/life balance, expect a lot"
ALDI,2021-02-09, Retail Store Manager,"Former Employee, more than 10 years","Newcastle upon Tyne, England, England",2,1.0,1.0,2.0,1.0,3.0,1.0,x,o,r,Tough environment & not much work life balance,"Salary
Easy job
Holidays & lieu time if you do work over","Under staff have more say than management
Upper management not approachable"
ALDI,2021-02-16, Night Selector,"Current Employee, more than 3 years","Neston, South West England, England, England",1,3.0,3.0,3.0,1.0,3.0,1.0,x,r,v,"Work you like a dog with little to no reward for hard work, Section Leaders do next to nothing","Good wage, Hours if you want them.","Section Leaders are overpaid security guards who watch the camera for the entirety of the shift while not leaving their desk seats. Who take hour+ breaks and complain if your a little late from coming back from your (20 min break for a 6 hour shift)

Extremely Psychical and Tiring - Only 20 min break
Your work rate is never good enough
System they use to work out pick rate is flawed"
ALDI,2020-01-12, Store Manager,"Current Employee, more than 1 year","Peterborough, England, England",4,2.0,4.0,,5.0,3.0,4.0,v,v,v,Great company to work for,Job security is almost guaranteed,Relentlessly increasing targets. Moving every year and extremely challenging
ALDI,2019-11-25, Assistant Retail Store Manager,"Former Employee, less than 1 year","Gillingham, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Store assistast,Good company  good prices good staff good hours and good pay,There’s nothing really all the staff are friendly and the working hours are flexible
ALDI,2020-01-20, Assistant Store,"Current Employee, more than 5 years","Stoke-on-Trent, England, England",4,4.0,4.0,,3.0,4.0,3.0,v,v,v,"Good pay,","Good pay
Flexible contract 
Bonuses through out the year","Hard work 
Early starts ( 5am)"
AJ-Bell,2018-03-01, Administrator,"Current Employee, less than 1 year","Manchester, England, England",1,,,,,,,x,x,x,Avoid at all costs,just for a pay check,"They don't give people a fair chance, the basic HR system of aptitude tests doesn't work when it comes to employing new people or promoting those at junior levels"
AFH-Wealth-Management,2017-03-10, Administrative Support,"Former Employee, more than 1 year","Orange, CA",1,2.0,1.0,,2.0,2.0,1.0,x,x,x,Worst place I have ever worked,"Can do compressed hours if you qualify for them, this helps with child care. 
There is free parking which helps.","Unsupportive HR team, worst I have ever come across. Would not trust them with confidential matters at all. 
Management are useless, only look after people in their ""clicks"". 
Everyone is treated differently which courses friction amongst teams. 
Pay is not very good for the amount of work the firm expect you to complete. 
High turnover of staff - never known anything like it!"
ALDI,2018-02-21, Deputy Manager,"Current Employee, more than 3 years","London, England, England",1,1.0,1.0,,1.0,2.0,1.0,x,x,x,Don't work nights,"Pay is good. That is the only thing, nothing else.","Long hours. You stay till the job is done. Doesn't matter if you have 40 pallets or 60. You don't go home. Being pressured into overtime. No feedback, except negative feedback. If you want to leave on time, you are threatened with negative performance reviews and 100% will get into an argument with the morning Assistant Manager. You can work 70 hours a week, with one day off. They rotate till 4 am but you have to stay till the manager comes in at 5 am in the morning and then you have to stay till he checks the store. Only two people on nights and you work 40000 pounds worth of delivery."
ALDI,2019-08-14, Store Assistant,"Current Employee, more than 1 year","Corby, Northamptonshire, East Midlands, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,my helpful review,"everyone seems friendly, fast and very helpful and i want to be apart of that team",nothing i have seen
AFH-Wealth-Management,2019-12-10, Change,"Former Employee, more than 1 year","Bromsgrove, England, England",1,,1.0,,,,1.0,x,o,o,If you have any morals avoid this terrible employer,The multiple Xmas & Summer events which the CEO's PAs spend their whole time organising.,"Too many to list unfortunately. IMO and based on my experiences there:
Unless this is your first job where you get some workplace experience, don't apply. 
Extremely unethical practices
Senior Leadership Team are mostly internally promoted therefore leave very little to be desired in terms of how to actually run a business.
Toxic culture
SLT like to talk about innovation or change but have no idea how to implement or probably even want to
HR team are also incompetent and I personally was privy to numerous unethical practices when recruiting."
AFH-Wealth-Management,2019-12-03, Manager,"Current Employee, more than 1 year","Bromsgrove, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Excellent employer,"AFH really does pride itself on looking after it's clients and this is evident in the way it supports staff to progress with qualifications. Individuals who work for AFH get the opportunity to develop and progress if they put the work in. 
Lovely office and very friendly staff.",None I can think of.
ALDI,2017-04-27, Area Manager,"Former Employee, more than 1 year","London, England, England",3,1.0,2.0,,4.0,4.0,3.0,x,o,v,Area Manager,"Serious responsibility, unparalleled learning experience. Great car. Good pay",Normal to do 70 hour weeks. Life outside work goes on hold if you want to perform  in the SE stores. Management not inspiring
AJ-Bell,2021-03-03, Anonymous Employee,"Former Employee, more than 3 years","Manchester, England, England",1,1.0,2.0,2.0,2.0,1.0,1.0,x,r,v,Do Your Homework on this Company,"Employee share scheme
Lots of social activities
Modern office environment
Good prospects for entry level jobs
Mainly young workforce
Growing business & lots of industry awards","Salaries below external market rates
Employee benefits need improvement e.g. employer pension contributions
Limited opportunities for experienced people
Micro management work culture
No flexi-time working available
Statutory minimum annual leave"
ALDI,2019-05-19, ASM,"Current Employee, more than 8 years","Cardiff, Wales, Wales",4,2.0,5.0,,5.0,5.0,5.0,v,r,v,Well paid,Money shifts can match home life,Lates that's it really to be honest
ALDI,2021-01-14, Warehouse Section Leader,"Current Employee, more than 1 year","Bolton, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Nights,"It's a 48 hour working week, but with the shift times you get so much out of your free time. It's the best work-life balance I've had in 8 years of retail.

Looking at salaries of similar jobs, and even those elsewhere with more responsibility, nowhere compares to Aldi in terms of logistics pay.","A lot of people are comfortable in their roles, and are happy to stay there until retirement. As such, positions can stay occupied for a long time which can limit progression opportunities."
ALDI,2019-12-15, Ptz,"Former Employee, more than 1 year","Cardiff, Wales, Wales",3,1.0,1.0,,3.0,1.0,1.0,x,r,r,Good pay... Poor management,"Pay is great.
Promote internally first.",Maximum hour with minimum beneifits
ALDI,2020-09-16, Store Manager,"Current Employee, more than 10 years","Saltcoats, Scotland, Scotland",2,3.0,5.0,,3.0,5.0,3.0,o,r,o,Hardwork,"local, fast paced environment, shifts fly in, good customer service","Hard work, not enough staff"
AJ-Bell,2019-05-19, Anonymous Employee,"Current Employee, less than 1 year",,4,3.0,5.0,,4.0,3.0,5.0,v,v,v,Good place to start for new jobseekers,"I like the culture, colleagues are friendly. Regular feedback given.",The location isn't good if you aren't on the tram network. Pay could be better.
ALDI,2018-07-26, Store Assistant,"Former Employee, less than 1 year","Bolton, England, England",5,3.0,5.0,,5.0,,5.0,v,v,v,Great place to work!,"Excellent pay, training and hours available",Not great work life balance as required to work weekends
ALDI,2012-10-29, Store Assistant,"Former Employee, less than 1 year","Stoke-on-Trent, England, England",1,1.0,1.0,,4.0,4.0,1.0,x,r,r,Poor management and no respect,Good rate of pay (if you stick around). chance to progress within a short period of time. always something to do so you're not bored,"Extremely hard work with sometimes far from realistic work time targets. Lucky to get a break, on an 11 hour shift you'll be lucky to get 15-20 minutes, in which time you might be called back out onto the shop floor. Management have no respect for staff and speak to you like garbage. No set hours. rota's change sometimes 24 hours before a shift, even when you're rota'd for a day off. Never finish on time, and can never seem to plan out a social life. Management threaten you with the possibility that you're going to lose your job almost constantly, rather than give you any friendly advice to keep you positive"
ALDI,2018-10-23, Part Time Store Assistant,"Current Employee, more than 1 year","Edinburgh, Scotland, Scotland",4,2.0,3.0,,3.0,4.0,3.0,o,o,o,Hard going,Great team environment.  Hard work but decent enough pay for supermarket job,Long shifts and weekend work regularly
ALDI,2018-06-07, Stock Assistant,Former Employee,"Didcot, England, England",1,1.0,1.0,,2.0,2.0,1.0,x,r,x,Understaffed and overworked,The pay was above average for a supermarket,"Poorly managed, never enough staff on the tills or to replenish stock effectively or help customers. Managers did not coordinate staff well."
ALDI,2021-01-11, Store Associate,Current Employee,"Hastings, England, England",3,2.0,2.0,2.0,3.0,2.0,1.0,v,r,r,Review,Higher rate of pay and paid breaks.,"You are worked to death, In my opinion, the extra £1 an hour isn't worth the amount of work you do, they also aren't very considerate with shift patterns or routine hours."
ALDI,2021-01-17, Store Assistant,Former Employee,"Salford, North West England, England, England",5,,,,,,,o,o,o,quality,"hours, staff, pay, flexible, team","none, none, none, none, none"
ALDI,2020-06-29, Assistant Store,"Former Employee, more than 1 year","Birmingham, England, England",5,3.0,3.0,,4.0,4.0,3.0,v,v,v,Good place to work,Paid very well with Aldi,Hard work and physically demanding
ALDI,2008-08-26, Area Manager,Current Employee,"Portland, OR",2,3.0,,,2.0,4.0,3.0,x,o,o,"""Beware all that glistens ...""","Experience, responsibility and the pay.","Extremely long hours for the sector (70+ not uncommon) and stress created by steep performance expectations with few resources available to run operations. Aldi is a discounter wih increadible prices for the quality but achieves this in a number of ways, not least by keeping staffing levels very low and driving productivity rates to levels not seen elsewhere. 

This all sounds fine, but in reality it makes for a tough working environment where your hours make up for the lack of colleagues - a convenient cost saving for the company, which employes well motivated individuals to achieve this.  At store level breaks are often not taken, or simply cannot be taken if the store is too busy because there is simply no back up. Some stores may be staffed by only two people and both may be required on the cash tills if the store is busy, to the detriment of all other tasks that need to be undertaken in the store. This is fun and a buzz to begin with but the fun palls as the reality of your working life sinks in!  The turnover of staff is prodigious - both self selecting and by the axe for those who can't keep the pace.

At Area or District Manager level, keen, ambitious, motivated people are selected to join the training programme with a healthy carrot of promotion opportunities and sector beating pay.  If you are attracted by this do a bit of due diligence before accepting!  The sector beating pay comes in annual increments - it doesn't start off fantastically.  This gives Aldi a chance to vet you in role first.  Fair enough?  Area Managers in training are used to run stores in preparation for their promotion to fully trained area manager - this gives Aldi a fantastic resource of ambitious thrusters to be used to run difficult and often failing stores for less than the price of a fully trained store manager.  An additional company benefit is that AM's in training voluntarily work any hours required (store managers often do not - mindful of employment laws!) to run their stores and will travel to wherever the company requires them to work without complaint unlike store managers.  The loyalty is one way however - a large number of area managers in training are needed at any stage to fill roles in stores and because few will make the grade.  A few from any intake will make full Area Manager and a few from this group will be promoted to Director in time.  However the rest will usually 'leave' after a few years providing advancement opportunities for the next group of ambitious hard working talent.

In my 3 years I saw in excess of 30 people come and go to service 10 area manager positions.  The clue is in how frequently Aldi advertises in the recruitment pages for these roles!"
ALDI,2018-02-19, Deputy Manager,"Current Employee, more than 5 years","Worcester, England, England",5,4.0,4.0,,5.0,5.0,4.0,v,o,v,Great company,"Moving with the times with both customers and staff
Great atmosphere to work in
Plenty of room for progression
The work they do with charity","Semi-flexible rota
Customers not complying with checkout procedure, even when informed why we are fast"
ALDI,2021-02-02, Deputy Manager,"Current Employee, more than 8 years","Derby, England, England",4,3.0,4.0,3.0,4.0,4.0,4.0,v,v,v,Pays well,"Always busy, never a dull day",Not enough hours in the day to finish all jobs
ALDI,2020-10-20, Aldi Store Assistant,Current Employee,"Southend, Scotland, Scotland",4,3.0,4.0,5.0,4.0,4.0,4.0,v,r,v,Good money but you are just a number.,Great pay and benefits with friendly co workers,Managers don’t care how Ill you may be and how much of a life you have outside of work.
ALDI,2021-03-03, Store Assistant,"Current Employee, less than 1 year","Horwich, England, England",4,4.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Store Assistant,"Good Team, good pay ,","Unsociable hours, long shifts ,"
ALDI,2020-07-08, Store Associate,Current Employee,"Winchester, England, England",4,,,,,,,o,o,o,"Great company, friendly","Really fun and busy work, friendly staff",Can be tiring if your not used to fast paced work
ALDI,2017-12-02, Assistant Store Manager,"Former Employee, more than 5 years","Plymouth, England, England",1,1.0,1.0,,1.0,2.0,2.0,x,x,r,Assistant store Manager,there is always something to do,Pay is actually just average when compared to the the workload. Stores understaffed. Staff treated differently. No work life balance. Worked as an ASM for 5 years there with 20 years experience in retail management. Work most evenings and weekend. Area Managers have no real work experience so decision making is poor. Very much a blame culture. 68% of store staff leave within their 1st year due to work load and poor working conditions
ALDI,2021-03-03, Customer Assistant,"Former Employee, less than 1 year","London, England, England",4,3.0,4.0,5.0,4.0,5.0,4.0,v,o,v,ALDI,"Flexible hours, colleagues, customers, early clock outs","Early starts, pay should be more considering the hard work that goes into the job."
ALDI,2020-09-13, Store Assistant,"Current Employee, more than 1 year","Swadlincote, England, England",2,,,,,,,x,r,r,Terrible,Teamwork flexibility paid breaks nothing else,"No work-life balance ,no good wages ,part time , too much work for one person"
ALDI,2016-02-17, Warehouse Picker,Former Employee,"Atherstone, England, England",4,3.0,3.0,,3.0,3.0,3.0,v,r,v,logistics assistant,"working in a faced paced logistics environment was rewarding when all the work was completed
team team members and managers were will to solve and problems
pay was good","very hard non-stop work during busy periods especially easter and christmas
working on a 5 on 3 off shift so having weekends off was not guaranteed"
ALDI,2019-08-21, Store Assistant,"Current Employee, more than 3 years","Derby, England, England",3,2.0,4.0,,1.0,4.0,1.0,x,v,r,Store assistant,Good pay after working for a while. Great Team,Upper management dont care about you. No progression
ALDI,2017-06-13, Delivery Driver Or Assitent Warehouse,"Current Employee, less than 1 year","London, England, England",4,5.0,3.0,,5.0,4.0,4.0,v,o,r,driver delivery,I know Aldi from Portugal I am a frequent customer I like the products I like the service seems to have a good work environment both individually and as a team,In Portugal I had little chance of being selected or even going to an interview because I am 51 years old and there look a lot for the age and not for the abilities experience and qualities
AFH-Wealth-Management,2017-06-02, Anonymous Employee,Current Employee,,5,5.0,5.0,,4.0,3.0,4.0,v,v,v,Best place to work!,"AFH feels like family. I left AFH last year for what i thought was a better career opportunity, but since realised that the grass isn't always greener on the other side. The culture of AFH is the reason I returned and I can definitely say it feels good to be back!",Unable to list any cons.
ALDI,2017-03-25, Selector,"Current Employee, more than 1 year","Bolton, England, England",3,4.0,1.0,,2.0,3.0,,v,o,v,warehouse selector nights,"Good pay,flexible working hours.good training lots of benefits.","Should do minimum 40 hrs contracts for those who want hours,"
ALDI,2020-09-19, Deputy Store Manager,"Former Employee, more than 5 years","Perth, Scotland, Scotland",3,1.0,3.0,,3.0,3.0,2.0,o,o,o,retail manager,"good pay, holidays and possible good team environment","hours and work load, shifts run quite lean"
ALDI,2015-08-25, Store Assistant,"Former Employee, less than 1 year","Banbury, England, England",2,,,,,,,o,o,o,store assistant,"good hourly pay
keeps you active","risk of RSI or tendonitis using till for hours with poor break
lack of respect to workers tendency to harrass or intimidate"
ALDI,2013-02-09, Store Manager,"Current Employee, more than 10 years","Neston, North West England, England, England",3,2.0,2.0,,2.0,4.0,2.0,x,r,r,Great Expectations.......,"Great salary for sector, very challenging and never dull!","Long and often unpredictable hours, sometimes working unpaid.  Incredibly high expectations and total lack of understanding from Head Office. No support or motivation from senior management, constant threat of disciplinary action being taken.  No prospect of promotion beyond Store Manager (company policy!)."
ALDI,2021-03-15, Store Assistant,Current Employee,"Basildon, East of England, England, England",4,,,,,,,o,o,o,"Good experience, excellent management.","Always lots to do, everyone friendly and looks out for each other","Hours are all mix and match, can be a lot to handle at times."
AFH-Wealth-Management,2017-09-01, Administrative,"Current Employee, less than 1 year","Bromsgrove, England, England",1,3.0,2.0,,3.0,1.0,2.0,x,o,r,AFH Admin,Big group of young people. There are opportunities to advance and progress in different directions,Abysmal pay. Try to get away with paying staff bare minimum. Really high staff turnover.
ALDI,2017-09-25, Deputy Manager,"Former Employee, more than 1 year","Manchester, England, England",2,1.0,1.0,,2.0,1.0,1.0,x,o,x,Deputy Manager,"Not much really, nice employees","Crazy long hours, hard work"
ALDI,2020-05-14, ALDI Area Manager,"Current Employee, more than 1 year","Glasgow, Scotland, Scotland",3,1.0,2.0,,3.0,5.0,2.0,x,o,r,Area Manager,"-Amazing salary and progression opportunities
-Ability to manage own time an have autonomy","-Poor work life balance
-Constant focus on KPIs over everything else.
-No formal job progression process"
ALDI,2021-01-06, Store Associate,"Current Employee, more than 1 year","Trowbridge, England, England",4,2.0,3.0,4.0,3.0,2.0,1.0,x,v,x,Good pay. Bad management,"Flexible hours, good pay and lots of opportunities","Long shifts, hard to organise holiday, takes a long time to get a pay rise"
ALDI,2017-07-09, Aldi,"Former Employee, less than 1 year","Clacton-on-Sea, England, England",5,5.0,5.0,,5.0,5.0,5.0,x,v,v,Good,"Great store brilliant team good wages long hours lots of room for extending , 25 hour contract so always had that amount of hours no less",Nothing was wrong with this job
ALDI,2018-08-11, Store Assistant,"Current Employee, more than 1 year","Birmingham, England, England",2,,1.0,,1.0,1.0,1.0,x,r,r,Apply at your own peril!,"- Decent hourly wage.
- Great people to work with (dependent on the store you work at)
- Paid break (but there is a downside to that too!)
- Company benefits such as discounts on some places.","Where do I begin:

- The time to unload pallets of new stock is incredibly unrealistic and you are often stopped by customers to help them with their enquiries. 

- If you're working a delivery shift, the delivery is sometimes late meaning you won't get out on time and have to find other work to occupy yourself. Even if you still don't get the delivery finished on time despite it not being your fault that it's late, expect a written conversation.

- Maximum of 30 minutes break, even if you are working a 10 hour shift which is not enough in my opinion when working in a fast paced environment like Aldi, where one easily become burned out. 

- Some shifts you are stuck on till all day, even up to 10 hours. 

- Shoplifting; the store that I work at has had an increase in shoplifting. There are no security guards employed to protect staff and customers from people who will harm you if you dare to get in their way. 

- Be expected to work like a robot!  

- The work life balance is terrible and barely given any thought; my social life has suffered because a lot of my time is taken up by working! 

- High staff turnover. 

- Never enough staff around to get the job done; if the store is really busy, most of the staff in store will be busy working away on tills. Which means you sometimes might end up collecting all of the empty cardboard boxes off the shelves after the store is closed, so in other words don't expect to finish your shift on time!

- Sometimes asked to come into work on days off at the drop of a hat.

- Rotas are changed often, meaning that you have to abandon all the plans you have made on your free time to come in to work. 

- Don't expect to get given a party at Christmas.

- No staff discount."
ALDI,2019-09-10, Team Member,"Former Employee, more than 3 years","London, England, England",5,3.0,5.0,,5.0,5.0,5.0,v,v,v,great,good salary good team good perks,none - keep up the good work
ALDI,2020-12-01, Sales Assistant,"Current Employee, more than 5 years","Grimbsy, England, England",3,2.0,1.0,3.0,4.0,3.0,2.0,x,r,v,Ok,Good money good team mates busy store,No work life balance at all
ALDI,2015-02-05, Webchat Advisor,"Former Employee, less than 1 year","Manchester, England, England",3,2.0,1.0,,2.0,3.0,1.0,x,x,x,Disgusting and shocking,"The salary wasn't too bad, my team was supportive and a good bunch of people to work with.",Was told to pull in additional chats even thou that was not measured on targets and informed from senior management
ALDI,2020-03-04, Customer Service Associate,"Former Employee, less than 1 year","Wokingham, England, England",3,,,,,,,o,o,o,Aldi,"Pay in time
Good benefits and some member of staff are very friendly",They dont appreciate staff that actually doing the work
AJ-Bell,2018-01-02, ,Former Employee,,5,5.0,5.0,,5.0,3.0,5.0,v,v,v,PCLS placement student,"Great team, lots of support and training. Excellent facilities

All staff are given level one introductory training about each of the different business areas, from here it is up to you whether to take this further but even as a year long placement student I was encouraged to take this further for my personal development. As a placement student I wasnt offered to complete my professional exams as it was a fixed term contract but they do offer it for long term employees.

I had a great team around me and excellent mentors. I found the team leader (Martin) and manager (Lauren) to be full of knowledge and always there to push me to strive for better. The team itself was really approachable and everyone was happy to help where they could.

I had quite a lot of interaction with other departments and it was really nice to see that there was a big family vibe across the business.

The job itself has definitely helped me with my business awareness and the skills I learnt have meant that I have been able to secure a graduate scheme with one of the bulge bracket investment banks.","Everyone was really knowledgeable in the team but there was a cap in the number of senior admins. Remove the cap and give people promotions (atleast to this level) based on skills and not vacancies

Update computer systems (I know this was happening when I was leaving) but I don’t know how it turned out"
ALDI,2019-09-24, Retail Store Assistant,"Current Employee, more than 3 years","Irthlingborough, England, England",4,3.0,4.0,,3.0,1.0,2.0,x,r,r,"Not the best, not the worst","Great team, hours and morale","Always work weekends, management isn’t fantastic. Always avoid promoting staff whilst preferring to hire in untrained managers"
AJ-Bell,2015-12-04, Please Select,"Former Employee, more than 3 years","Manchester, England, England",2,5.0,2.0,,2.0,1.0,1.0,x,x,x,"Biased managers, stepping on others to work their way up the ladder","""Foot in the door"" as a junior staff member, to gain some experience before moving on elsewhere. SOME genuinely nice people who work hard (without appreciation) and a close social circle.","Will only progress if you know the right people. HR department are not worthy of being the ""go to"" for staff members as they are not trusted and underhand/biased promotions. No flexibility with hours. Hire too many ""kids"" so they can pay cheap wages - and therefore no-one gets treated like an adult or trusted. If you're not liked by the right people you're bullied out."
ALDI,2020-02-13, Assistant Store,"Former Employee, more than 1 year","Birmingham, England, England",2,1.0,1.0,,4.0,2.0,3.0,x,r,r,Over worked,Good rate of pay per hour,"If you work hard they put you on most weekends as busier and heavier deliveries,  your only contracted at 25 hours a week and get rotered on for almost double that each week. You get decent rate of pay but you work hard for it."
ALDI,2016-07-25, Deputy Manager,"Former Employee, more than 5 years","Norwich, England, England",1,2.0,2.0,,3.0,3.0,1.0,v,v,x,Deputy manager,"Hourly wage above average, great teams of hard workers with fantastic personality, opportunity to get involved in projects, you will make friends for life","After 6 years I have now left this job and working with a competitor.i used to love working here and was so passionate about the company. This all changed within my last year. My hours were cut due to over recruiting, they make it so there is now zero chance of earning the advertised deputy rate, I've gone from earning around 2k a month to struggling to scratch 1.2/1.3k! senior managment especially assistant managers will talk to you awfully. It's not just the store I worked in, I have spoke to many working in the same role in different stores , but so many deputy managers feel they are no longer included within the managment team"
ALDI,2020-12-10, Deputy Store Manager,"Current Employee, less than 1 year","London, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,People are lovely and higher management have always been really helpful and caring.,Not sure how payslips are worked out or sick pay etc.
ALDI,2018-09-03, Area Manager,"Former Employee, more than 1 year","Neston, North West England, England, England",3,1.0,3.0,,4.0,3.0,3.0,o,o,o,"Intense and fast paced, but old fasioned","Great learning experience, thrown in at the deep end from day 1.","Focus on small details, e.g. tie colour rather than interactions with people. HR strucutre is awful with no regard for mental or physical health as hours very rigid and inflexible."
AJ-Bell,2021-02-05, Administrative,"Current Employee, more than 5 years","Manchester, England, England",3,2.0,2.0,2.0,3.0,3.0,3.0,o,o,o,Okay,"Near to home, great people","Pay is not enough, too much work"
AJ-Bell,2016-08-18, Anonymous Employee,"Former Employee, more than 8 years","Manchester, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,v,x,Team Leader,Nothing - Managers think they are some kind of big shot and only look out for mates and give them jobs,"Managers just give mates a job, absolutely no prospects and they will regret letting all the experienced staff leave because they are doing"
ALDI,2020-08-26, Store Assistant,Former Employee,"Chelmsford, England, England",3,,,,,,,o,o,o,Nice,-good work ethic within company,-held to targets more than other supermarkets
ALDI,2018-11-01, Anonymous Employee,"Current Employee, more than 1 year","Boston, England, England",5,4.0,4.0,,4.0,4.0,4.0,o,o,o,Employment,"Friendly staff, fast and good services",Always helping and give advice when needed
ALDI,2014-05-08, Store Assistant,"Former Employee, less than 1 year","Shrewsbury, England, England",1,1.0,1.0,,1.0,2.0,1.0,x,x,x,Don't get excited by the wages as every shift you work over until the work is completed (unpaid),Can't think of any apart from bank holiday double pay!,"Starting at 4am , unloading 10 pallets on your own in 4 hrs and being expected to stay unpaid to finish. Staying late after 9 pm when store closes until all the jobs and cleaning complete, 10.50pm on a Saturday night, unpaid ! Getting rude phone calls from managers to get you to start shifts early ."
